id,revol_bal,revol_util,total_pymnt,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
54734,28854,52.10%,29330.3567,25000,4330.36,2011-10-01,7392.08,2012-08-01
55742,33623,76.70%,8215.53706,7000,1215.54,2011-06-01,228.48,2012-08-01
57245,2584,40.40%,1457.819531,1200,257.82,2013-03-01,42.73,2016-05-01
57416,3511,25.60%,13207.7633,10800,2407.76,2012-11-01,398,2016-05-01
58915,33667,73.20%,5843.875367,5024.99,818.88,2011-04-01,162.63,2014-03-01
59006,4740,39.50%,3704.99765,3000,705,2012-10-01,111.23,2012-09-01
61390,50807,51%,4451.606058,4000,451.61,2012-03-01,1454.31,2012-03-01
61419,3839,76.80%,6474.6,5220.69,1211.07,2012-10-01,194.02,2013-03-01
62102,3198,51.10%,3413.98528,3200,213.99,2011-02-01,2592.23,2013-03-01
65426,24220,68.60%,2755.2,2170.35,584.85,2011-06-01,131.22,2016-05-01
65640,69909,51.10%,3153.804764,2649.99,488.82,2011-05-01,87.83,2015-04-01
66431,5630,23%,3028.319048,2525,503.32,2012-03-01,89.75,2012-03-01
66749,13846,71%,12975.35746,10625,2350.36,2012-01-01,370.44,2011-12-01
66943,2183,19.50%,3143.861603,2800,343.86,2011-10-01,2348.97,2014-07-01
66964,5122,18.20%,9128.550873,7500,1628.55,2011-06-01,253.87,2011-06-01
67503,6068,16.70%,11280.38272,10000,1280.38,2012-02-01,3064.45,2014-02-01
68163,3021,4.80%,3341.641503,3000,341.64,2013-02-01,97.75,2013-02-01
68381,6282,44.60%,7541.803814,6625,916.8,2011-03-01,424.12,2015-03-01
68817,5394,53.40%,11709.14052,10000,1709.14,2010-09-01,23.15,2010-09-01
68926,2211,88.40%,2796.601136,2300,496.6,2011-09-01,77.78,2016-05-01
69001,7586,52.70%,17135.51023,15000,2135.51,2012-07-01,1919.13,2015-08-01
69124,8311,59.80%,21027.94463,18000,3027.95,2011-04-01,598.22,2016-05-01
69168,591,84.40%,6251.187621,5000,1251.19,2011-04-01,184.81,2016-05-01
69251,29797,23.20%,6783.750468,5999.99,768.76,2011-05-01,189.36,2011-05-01
69550,7248,69.20%,15923.97483,11200,4723.97,2014-08-01,2816.71,2016-05-01
69828,5656,27.60%,17208.17701,15000,2113.3,2011-08-01,38.2,2011-08-01
69924,21162,57.70%,12225.41138,10000,2225.41,2011-04-01,359.55,2016-02-01
69990,16931,34.60%,17438.40519,15500,1938.41,2013-02-01,472.56,2013-02-01
70348,4822,58.10%,11340.97,9600,1740.97,2010-05-01,3773.06,2016-05-01
76597,14354,36.60%,5725.016258,5000,725.02,2010-07-01,160.61,2010-07-01
84918,1576,5.70%,5200.462983,5000,200.46,2008-04-01,4268.52,2007-06-01
87023,4175,51.50%,9195.263334,7500,1695.26,2010-06-01,256.59,2010-06-01
88854,3164,13.70%,5174.194867,5000,174.19,2008-03-01,0,2007-05-01
90376,85607,0.70%,5174.198551,5000,174.2,2008-01-01,0,2007-06-01
90395,9698,19.40%,5272.161128,5000,272.16,2008-04-01,0,2007-06-01
90665,8847,26.90%,9913.491822,8500,1413.49,2010-07-01,281.94,2010-07-01
90966,6053,19.50%,5174.186842,5000,174.19,2008-01-01,4397.47,2007-06-01
